KO	Description
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]
K00365	uaZ; urate oxidase [EC:1.7.3.3]
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]
K00385	asrC; anaerobic sulfite reductase subunit C
K00386	sorB; sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]
K00387	SUOX; sulfite oxidase [EC:1.8.3.1]
K00389	yidH; putative membrane protein
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]
K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]
K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
K00400	K00400; methyl coenzyme M reductase system, component A2
K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV
K00408	WNT4; wingless-type MMTV integration site family, member 4
K00410	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
K00412	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00414	QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1
K00415	QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2
K00416	QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6
K00417	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7
K00418	QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8
K00419	QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9
K00420	QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10
K00421	lccA; laccase [EC:1.10.3.2]
K00422	E1.10.3.1; polyphenol oxidase [EC:1.10.3.1]
K00423	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
K00424	cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
K00427	lldP, lctP; L-lactate permease
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K00430	E1.11.1.7; peroxidase [EC:1.11.1.7]
K00431	TPO; thyroid peroxidase [EC:1.11.1.8]
K00432	gpx, btuE, bsaA; glutathione peroxidase [EC:1.11.1.9]
K00433	cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K00434	E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]
K00435	hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
K00436	hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
K00437	hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1]
K00440	frhA; coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
K00441	frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00442	frhD; coenzyme F420 hydrogenase subunit delta
K00443	frhG; coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
K00444	WNT5; wingless-type MMTV integration site family, member 5
K00445	WNT6; wingless-type MMTV integration site family, member 6
K00446	dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]
K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]
K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
K00450	E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]
K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
K00452	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
K00453	TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]
K00454	LOX2S; lipoxygenase [EC:1.13.11.12]
K00455	hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
K00456	CDO1; cysteine dioxygenase [EC:1.13.11.20]
K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K00458	ALOX12; arachidonate 12-lipoxygenase [EC:1.13.11.31]
K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00460	ALOX15; arachidonate 15-lipoxygenase [EC:1.13.11.33]
K00461	ALOX5; arachidonate 5-lipoxygenase [EC:1.13.11.34]
K00462	bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]
K00463	IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]
K00464	diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K00465	CCD1; carotenoid 9,10(9',10')-cleavage dioxygenase 1 [EC:1.13.11.-]
K00466	iaaM; tryptophan 2-monooxygenase [EC:1.13.12.3]
K00467	E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4]
K00468	davB; lysine 2-monooxygenase [EC:1.13.12.2]
K00469	MIOX; inositol oxygenase [EC:1.13.99.1]
K00471	BBOX1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
K00473	PLOD1; procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [EC:1.14.11.4]
K00474	TMLHE; trimethyllysine dioxygenase [EC:1.14.11.8]
K00475	F3H; naringenin 3-dioxygenase [EC:1.14.11.9]
K00476	ASPH; aspartate beta-hydroxylase [EC:1.14.11.16]
K00477	PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00478	HR; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]
K00479	gbcA; glycine betaine catabolism A
K00480	E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
K00481	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00484	hpaC; flavin reductase (NADH) [EC:1.5.1.36]
K00485	FMO; dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
K00487	CYP73A; trans-cinnamate 4-monooxygenase [EC:1.14.14.91]
K00488	CYP27A1; cholestanetriol 26-monooxygenase [EC:1.14.15.15]
K00489	CYP7A1; cholesterol 7alpha-monooxygenase [EC:1.14.14.23]
K00490	CYP4F; cytochrome P450 family 4 subfamily F [EC:1.14.14.1]
K00491	nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]
K00492	tmuM; 1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]
K00493	XANG; xanthocillin biosynthesis cytochrome P450 monooxygenase [EC:1.14.-.-]
K00494	luxA; alkanal monooxygenase alpha chain [EC:1.14.14.3]
K00495	CYP71AN24; phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]
K00496	alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]
K00497	CYP11B1; steroid 11beta-monooxygenase [EC:1.14.15.4]
K00498	CYP11A; cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6]
K00499	CMO; choline monooxygenase [EC:1.14.15.7]
K00500	phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]
K00501	TH; tyrosine 3-monooxygenase [EC:1.14.16.2]
K00502	TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]
K00503	DBH; dopamine beta-monooxygenase [EC:1.14.17.1]
K00504	PHM; peptidylglycine monooxygenase [EC:1.14.17.3]
K00505	TYR; tyrosinase [EC:1.14.18.1]
K00506	TYRP1; tyrosinase-related protein 1 [EC:1.14.18.-]
K00507	SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
K00508	E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
K00509	PTGS1, COX1; prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]
K00510	HMOX1; heme oxygenase 1 [EC:1.14.14.18]
K00511	SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]
K00512	CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
K00513	CYP21A; steroid 21-monooxygenase [EC:1.14.14.16]
K00514	ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]
K00515	BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]
K00516	E1.14.99.55; lytic starch monooxygenase [EC:1.14.99.55]
K00517	CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]
K00518	sodN; nickel superoxide dismutase [EC:1.15.1.1]
K00520	merA; mercuric reductase [EC:1.16.1.1]
K00521	E1.16.1.7; ferric-chelate reductase [EC:1.16.1.7]
K00522	FTH1; ferritin heavy chain [EC:1.16.3.2]
K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
K00524	nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K00531	anfG; nitrogenase delta subunit [EC:1.18.6.1]
K00532	E1.12.7.2; ferredoxin hydrogenase [EC:1.12.7.2]
K00533	E1.12.7.2L; ferredoxin hydrogenase large subunit [EC:1.12.7.2]
K00534	E1.12.7.2S; ferredoxin hydrogenase small subunit [EC:1.12.7.2]
K00537	arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]
K00540	fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]
K00541	NNMT; nicotinamide N-methyltransferase [EC:2.1.1.1]
K00542	GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]
K00543	ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]
K00544	BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
K00545	COMT; catechol O-methyltransferase [EC:2.1.1.6]
K00546	HNMT; histamine N-methyltransferase [EC:2.1.1.8]
K00547	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00550	PLMT; phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]
K00551	PEMT; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00552	GNMT; glycine N-methyltransferase [EC:2.1.1.20]
K00553	PNMT; phenylethanolamine N-methyltransferase [EC:2.1.1.28]
K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K00555	TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
K00557	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00559	SMT1, ERG6; sterol 24-C-methyltransferase [EC:2.1.1.41]
K00560	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00561	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]
K00562	INMT, TEMT; methyltransferase [EC:2.1.1.49 2.1.1.96]
K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K00565	RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
K00566	mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]
K00570	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00571	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00572	WNT7; wingless-type MMTV integration site family, member 7
K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
K00577	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
K00578	mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]
K00579	mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]
K00580	mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]
K00581	mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
K00582	mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]
K00583	mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]
K00584	mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
K00586	DPH5; diphthine methyl ester synthase [EC:2.1.1.314]
K00587	ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K00589	MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]
K00591	COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]
K00592	RBCMT; [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]
K00594	xyoA, aldO; alditol oxidase [EC:1.1.3.41]
K00595	cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]
K00596	E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]
K00597	MTRR; methionine synthase reductase [EC:1.16.1.8]
K00598	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]
K00599	METTL6; methyltransferase-like protein 6 [EC:2.1.1.-]
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
K00601	E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K00603	fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
K00605	gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]
K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K00608	pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2]
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit
K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]
K00612	nodU; carbamoyltransferase [EC:2.1.3.-]
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]
K00614	CSKMT, METTL12; citrate synthase lysine N-methyltransferase [EC:2.1.1.-]
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
K00618	ARG2; amino-acid N-acetyltransferase [EC:2.3.1.1]
K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
K00622	nat; arylamine N-acetyltransferase [EC:2.3.1.5]
K00623	CHAT; choline O-acetyltransferase [EC:2.3.1.6]
K00624	E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]
K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]
K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00628	GLYAT; glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]
K00629	GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]
K00633	lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
K00634	ptb; phosphate butyryltransferase [EC:2.3.1.19]
K00635	tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]
K00637	SOAT; sterol O-acyltransferase [EC:2.3.1.26]
K00638	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]
K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00646	pksF; malonyl-ACP decarboxylase
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00649	GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]
K00650	LCAT; lecithin-cholesterol acyltransferase [EC:2.3.1.43]
K00651	metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
K00653	CDY; chromodomain protein Y [EC:2.3.1.48]
K00654	SPT; serine palmitoyltransferase [EC:2.3.1.50]
K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]
K00657	speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00659	BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]
K00660	CHS; chalcone synthase [EC:2.3.1.74]
K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
K00663	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
K00664	ATF; alcohol O-acetyltransferase [EC:2.3.1.84]
K00665	FASN; fatty acid synthase, animal type [EC:2.3.1.85]
K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
K00667	FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]
K00668	FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]
K00669	AANAT; arylalkylamine N-acetyltransferase [EC:2.3.1.87]
K00670	NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]
K00671	NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]
K00674	dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00678	LRAT; phosphatidylcholine-retinol O-acyltransferase [EC:2.3.1.135]
K00679	E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
K00680	ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00682	GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]
K00683	QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00685	ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
K00686	tgl; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
K00687	pbp2B, penA; penicillin-binding protein 2B
K00688	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]
K00689	E2.4.1.5; dextransucrase [EC:2.4.1.5]
K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K00691	mapA; maltose phosphorylase [EC:2.4.1.8]
K00692	sacB; levansucrase [EC:2.4.1.10]
K00693	GYS; glycogen synthase [EC:2.4.1.11]
K00694	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00695	SUS; sucrose synthase [EC:2.4.1.13]
K00696	E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]
K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00698	CHS1; chitin synthase [EC:2.4.1.16]
K00699	UGT; glucuronosyltransferase [EC:2.4.1.17]
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
K00701	cgt; cyclomaltodextrin glucanotransferase [EC:2.4.1.19]
K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]
K00703	glgA; starch synthase [EC:2.4.1.21]
K00704	LALBA; alpha-lactalbumin [EC:2.4.1.22]
K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
K00706	E2.4.1.34; 1,3-beta-glucan synthase [EC:2.4.1.34]
K00709	ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]
K00710	GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
K00712	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
K00713	waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]
K00714	WNT8; wingless-type MMTV integration site family, member 8
K00715	B3GALT4; ganglioside galactosyltransferase [EC:2.4.1.62]
K00716	FUT3; galactoside 3(4)-fucosyltransferase 3 [EC:2.4.1.65]
K00717	FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]
K00718	FUT1_2; galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]
K00719	B3GALNT1, B3GALT3; galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase [EC:2.4.1.79]
K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K00722	GBGT1; globoside alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.88]
K00725	B4GALNT1, GALGT; (N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]
K00726	MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]
K00727	GCNT1; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]
K00728	POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
K00729	ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
K00730	OST4; oligosaccharyl transferase complex subunit OST4
K00731	C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
K00733	B4GALT7; xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]
K00734	B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
K00735	B3GAT1; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]
K00736	MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]
K00737	MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
K00738	MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]
K00739	B3GNT6; acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.147]
